anime_id,name,genre,type,episodes,rating,members,combined_features,weighted_features
32281,Kimi no Na wa.,"['Drama', 'Romance', 'School', 'Supernatural']",Movie,1,9.37,200630,"Drama, Romance, School, Supernatural Movie 9.37","Drama, Romance, School, Supernatural Movie Rating:87.79689999999998 Members:200630"
5114,Fullmetal Alchemist: Brotherhood,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']",TV,64,9.26,793665,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen TV 9.26","Action, Adventure, Drama, Fantasy, Magic, Military, Shounen TV Rating:85.74759999999999 Members:793665"
28977,Gintama°,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",TV,51,9.25,114262,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen TV 9.25","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen TV Rating:85.5625 Members:114262"
9253,Steins;Gate,"['Sci-Fi', 'Thriller']",TV,24,9.17,673572,"Sci-Fi, Thriller TV 9.17","Sci-Fi, Thriller TV Rating:84.0889 Members:673572"
9969,Gintama&#039;,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",TV,51,9.16,151266,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen TV 9.16","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen TV Rating:83.9056 Members:151266"
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",TV,10,9.15,93351,"Comedy, Drama, School, Shounen, Sports TV 9.15","Comedy, Drama, School, Shounen, Sports TV Rating:83.72250000000001 Members:93351"
11061,Hunter x Hunter (2011),"['Action', 'Adventure', 'Shounen', 'Super Power']",TV,148,9.13,425855,"Action, Adventure, Shounen, Super Power TV 9.13","Action, Adventure, Shounen, Super Power TV Rating:83.35690000000001 Members:425855"
820,Ginga Eiyuu Densetsu,"['Drama', 'Military', 'Sci-Fi', 'Space']",OVA,110,9.11,80679,"Drama, Military, Sci-Fi, Space OVA 9.11","Drama, Military, Sci-Fi, Space OVA Rating:82.9921 Members:80679"
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Movie,1,9.1,72534,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen Movie 9.1","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen Movie Rating:82.80999999999999 Members:72534"
15417,Gintama&#039;: Enchousen,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",TV,13,9.11,81109,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen TV 9.11","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen TV Rating:82.9921 Members:81109"
4181,Clannad: After Story,"['Drama', 'Fantasy', 'Romance', 'Slice of Life', 'Supernatural']",TV,24,9.06,456749,"Drama, Fantasy, Romance, Slice of Life, Supernatural TV 9.06","Drama, Fantasy, Romance, Slice of Life, Supernatural TV Rating:82.0836 Members:456749"
28851,Koe no Katachi,"['Drama', 'School', 'Shounen']",Movie,1,9.05,102733,"Drama, School, Shounen Movie 9.05","Drama, School, Shounen Movie Rating:81.90250000000002 Members:102733"
918,Gintama,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",TV,201,9.04,336376,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen TV 9.04","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen TV Rating:81.72159999999998 Members:336376"
2904,Code Geass: Hangyaku no Lelouch R2,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Super Power']",TV,25,8.98,572888,"Action, Drama, Mecha, Military, Sci-Fi, Super Power TV 8.98","Action, Drama, Mecha, Military, Sci-Fi, Super Power TV Rating:80.64040000000001 Members:572888"
28891,Haikyuu!! Second Season,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",TV,25,8.93,179342,"Comedy, Drama, School, Shounen, Sports TV 8.93","Comedy, Drama, School, Shounen, Sports TV Rating:79.7449 Members:179342"
199,Sen to Chihiro no Kamikakushi,"['Adventure', 'Drama', 'Supernatural']",Movie,1,8.93,466254,"Adventure, Drama, Supernatural Movie 8.93","Adventure, Drama, Supernatural Movie Rating:79.7449 Members:466254"
23273,Shigatsu wa Kimi no Uso,"['Drama', 'Music', 'Romance', 'School', 'Shounen']",TV,22,8.92,416397,"Drama, Music, Romance, School, Shounen TV 8.92","Drama, Music, Romance, School, Shounen TV Rating:79.5664 Members:416397"
24701,Mushishi Zoku Shou 2nd Season,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",TV,10,8.88,75894,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural TV 8.88","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural TV Rating:78.85440000000001 Members:75894"
12355,Ookami Kodomo no Ame to Yuki,"['Fantasy', 'Slice of Life']",Movie,1,8.84,226193,"Fantasy, Slice of Life Movie 8.84","Fantasy, Slice of Life Movie Rating:78.1456 Members:226193"
1575,Code Geass: Hangyaku no Lelouch,"['Action', 'Mecha', 'Military', 'School', 'Sci-Fi', 'Super Power']",TV,25,8.83,715151,"Action, Mecha, Military, School, Sci-Fi, Super Power TV 8.83","Action, Mecha, Military, School, Sci-Fi, Super Power TV Rating:77.9689 Members:715151"
263,Hajime no Ippo,"['Comedy', 'Drama', 'Shounen', 'Sports']",TV,75,8.83,157670,"Comedy, Drama, Shounen, Sports TV 8.83","Comedy, Drama, Shounen, Sports TV Rating:77.9689 Members:157670"
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"['Action', 'Drama', 'Historical', 'Martial Arts', 'Romance', 'Samurai']",OVA,4,8.83,129307,"Action, Drama, Historical, Martial Arts, Romance, Samurai OVA 8.83","Action, Drama, Historical, Martial Arts, Romance, Samurai OVA Rating:77.9689 Members:129307"
1,Cowboy Bebop,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",TV,26,8.82,486824,"Action, Adventure, Comedy, Drama, Sci-Fi, Space TV 8.82","Action, Adventure, Comedy, Drama, Sci-Fi, Space TV Rating:77.7924 Members:486824"
30276,One Punch Man,"['Action', 'Comedy', 'Parody', 'Sci-Fi', 'Seinen', 'Super Power', 'Supernatural']",TV,12,8.82,552458,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural TV 8.82","Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural TV Rating:77.7924 Members:552458"
164,Mononoke Hime,"['Action', 'Adventure', 'Fantasy']",Movie,1,8.81,339556,"Action, Adventure, Fantasy Movie 8.81","Action, Adventure, Fantasy Movie Rating:77.6161 Members:339556"
7311,Suzumiya Haruhi no Shoushitsu,"['Comedy', 'Mystery', 'Romance', 'School', 'Sci-Fi', 'Supernatural']",Movie,1,8.81,240297,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural Movie 8.81","Comedy, Mystery, Romance, School, Sci-Fi, Supernatural Movie Rating:77.6161 Members:240297"
